;";show_date;Artist;Title;Album;Year"
1795;"1795;0_UNK_0;Bambi Molesters;Hot Water Pool;Dumb Loud Hollow Twang;1997"
1796;"1796;0_UNK_0;Bambi Molesters;Beach Murder Mystery;Dumb Loud Hollow Twang;1997"
1797;"1797;0_UNK_0;Bambi Molesters;Coastal Disturbance;Dumb Loud Hollow Twang;1997"
1798;"1798;0_UNK_0;Bambi Molesters;Landlocked;Dumb Loud Hollow Twang;1997"
1799;"1799;0_UNK_0;Bambi Molesters;Pearl Divin';Dumb Loud Hollow Twang;1997"
1800;"1800;0_UNK_0;Banana Shakes;Chonmage;Rustic Stomp 1996;1997"
1801;"1801;0_UNK_0;Banana Shakes;Rumba;Rustic Stomp 1996;1997"
1802;"1802;0_UNK_0;Bananarama;Bananarama - Shy Boy;;-1"
1803;"1803;0_UNK_0;The Band;Tears Of Rage;Music From Big Pink;1968"
1804;"1804;0_UNK_0;The Band;To Kingdom Come;Music From Big Pink;1968"
1805;"1805;0_UNK_0;The Band;In A Station;Music From Big Pink;1968"
1806;"1806;0_UNK_0;The Band;Caledonia Mission;Music From Big Pink;1968"
1807;"1807;0_UNK_0;The Band;The Weight;Music From Big Pink;1968"
1808;"1808;0_UNK_0;The Band;We Can Talk;Music From Big Pink;1968"
1809;"1809;0_UNK_0;The Band;Long Black Veil;Music From Big Pink;1968"
1810;"1810;0_UNK_0;The Band;Chest Fever;Music From Big Pink;1968"
1811;"1811;0_UNK_0;The Band;Lonesome Suzie;Music From Big Pink;1968"
1812;"1812;0_UNK_0;The Band;This Wheel's On Fire;Music From Big Pink;1968"
1813;"1813;0_UNK_0;The Band;I Shall Be Released;Music From Big Pink;1968"
1814;"1814;0_UNK_0;Bane;Just How Much;All Systems Go!;2002"
1815;"1815;0_UNK_0;Bane;You Wrote This Song For Me;Bane & Adamantium Split;-1"
1816;"1816;0_UNK_0;Bane;Broke Wide Open;Bane & Adamantium Split;-1"
1817;"1817;0_UNK_0;Bane;Eye For An Eye (Eye For An Eye);Bane & Adamantium Split;-1"
1818;"1818;0_UNK_0;Bane;You Wrote This Song For Me;Bane Adamantium split 7 inch;2001"
1819;"1819;0_UNK_0;Bane;Broke Wide Open;Bane Adamantium split 7 inch;2000"
1820;"1820;0_UNK_0;Bane;Lay the Blame;Bane Demot;1996"
1821;"1821;0_UNK_0;Bane;Scared;Bane Demot;1996"
1822;"1822;0_UNK_0;Bane;Truth Inside;Bane Demot;1996"
1823;"1823;0_UNK_0;Bane;Reckoning Day;Bane Demot;1996"
1824;"1824;0_UNK_0;Bane;Both Guns Blazing;Bane Demot;1996"
1825;"1825;0_UNK_0;Bane;Forked Tongue;""Forked Tongue 7"""""";1996"
1826;"1826;0_UNK_0;Bane;Every Effort Made;""Forked Tongue 7"""""";1996"
1827;"1827;0_UNK_0;Bane;Pay the Price;""Forked Tongue 7"""""";1996"
1828;"1828;0_UNK_0;Bane;Speechless;Give Blood;2001"
1829;"1829;0_UNK_0;Bane;Some Came Running;Give Blood;2001"
1830;"1830;0_UNK_0;Bane;Snakes Among Us;Give Blood;2001"
1831;"1831;0_UNK_0;Bane;Release the Hounds;Give Blood;2001"
1832;"1832;0_UNK_0;Bane;What Holds Us Down;Give Blood;2001"
1833;"1833;0_UNK_0;Bane;Ante Up;Give Blood;2001"
1834;"1834;0_UNK_0;Bane;Bang the Drum Slowly;Give Blood;2001"
1835;"1835;0_UNK_0;Bane;Sunflowers and Sunsets;Give Blood;2001"
1836;"1836;0_UNK_0;Bane;The Big Gun Down;Give Blood;2001"
1837;"1837;0_UNK_0;Bane;Ali V. Frazier I;Give Blood;2001"
1838;"1838;0_UNK_0;Bane;Stop The Slaughter (mob 47);Hail to sweden;1994"
1839;"1839;0_UNK_0;Bane;Fucking System_(crudity);Hail to sweden;1994"
1840;"1840;0_UNK_0;Bane;En Rost For Fred (agoni);Hail to sweden;1994"
1841;"1841;0_UNK_0;Bane;Law Of Evil (rojers);Hail to sweden;1994"
1842;"1842;0_UNK_0;Bane;War Machine (anti_cimex);Hail to sweden;1994"
1843;"1843;0_UNK_0;Bane;In Pieces;Holding This Moment;1998"
1844;"1844;0_UNK_0;Bane;Count Me Out;Holding This Moment;1998"
1845;"1845;0_UNK_0;Bane;Superhero;Holding This Moment;1998"
1846;"1846;0_UNK_0;Bane;Superhero;Holding This Moment;1998"
1847;"1847;0_UNK_0;Bane;At Best;Holding This Moment;1998"
1848;"1848;0_UNK_0;Bane;Scareo;Holding This Moment;1998"
1849;"1849;0_UNK_0;Bane;Scared;Holding This Moment;1998"
1850;"1850;0_UNK_0;Bane;Forked Tongue;Holding This Moment;1998"
1851;"1851;0_UNK_0;Bane;Every Effort Made / Lay The Blame;Holding This Moment;1998"
1852;"1852;0_UNK_0;Bane;Lay The Blame;Holding This Moment;1998"
1853;"1853;0_UNK_0;Bane;Pay The Price;Holding This Moment;1998"
1854;"1854;0_UNK_0;Bane;F**k What You Heard;It All Comes Down to This;1999"
1855;"1855;0_UNK_0;Bane;Fuck What You Heard;It All Comes Down to This;1999"
1856;"1856;0_UNK_0;Bane;Struck Down By Me;It All Comes Down to This;1999"
1857;"1857;0_UNK_0;Bane;The Paint Chips Away;It All Comes Down to This;1999"
1858;"1858;0_UNK_0;Bane;My Cross To Bear;It All Comes Down to This;1999"
1859;"1859;0_UNK_0;Bane;What Makes Us Strong;It All Comes Down to This;1999"
1860;"1860;0_UNK_0;Bane;Can We Start Again;It All Comes Down to This;1999"
1861;"1861;0_UNK_0;Bane;I Once Was Blind;It All Comes Down to This;1999"
1862;"1862;0_UNK_0;Bane;Place In The Sun;It All Comes Down to This;1999"
1863;"1863;0_UNK_0;Bane;Her Lucky Pretty Eyes;It All Comes Down to This;1999"
1864;"1864;0_UNK_0;Bane;A Bridge Too Far;It All Comes Down to This;1999"
1865;"1865;0_UNK_0;Bane;Pay the Price;It All Comes Down to This;1997"
1866;"1866;0_UNK_0;Bane;Chain of Strength;It All Comes Down to This;1999"
1867;"1867;0_UNK_0;Bangles;Hero Takes A Fall;Bangles - Greatest Hits (Gold);2000"
1868;"1868;0_UNK_0;Bangles;Going Down To Liverpool;Bangles - Greatest Hits (Gold);2000"
1869;"1869;0_UNK_0;Bangles;Manic Monday;Bangles - Greatest Hits (Gold);2000"
1870;"1870;0_UNK_0;Bangles;If She Knew What She Wants;Bangles - Greatest Hits (Gold);2000"
1871;"1871;0_UNK_0;Bangles;Walk Like An Egyptian;Bangles - Greatest Hits (Gold);2000"
1872;"1872;0_UNK_0;Bangles;Walking Down Your Street;Bangles - Greatest Hits (Gold);2000"
1873;"1873;0_UNK_0;Bangles;Following;Bangles - Greatest Hits (Gold);2000"
1874;"1874;0_UNK_0;Bangles;Hazy Shade Of Winter;Bangles - Greatest Hits (Gold);2000"
1875;"1875;0_UNK_0;Bangles;In Your Room;Bangles - Greatest Hits (Gold);2000"
1876;"1876;0_UNK_0;Bangles;Eternal Flame;Bangles - Greatest Hits (Gold);2000"
1877;"1877;0_UNK_0;Bangles;Be With You;Bangles - Greatest Hits (Gold);2000"
1878;"1878;0_UNK_0;Bangles;I'll Set You Free;Bangles - Greatest Hits (Gold);2000"
1879;"1879;0_UNK_0;Bangles;Everything I Wanted;Bangles - Greatest Hits (Gold);2000"
1880;"1880;0_UNK_0;Bangles;Where Were You When I Needed You;Bangles - Greatest Hits (Gold);2000"
1881;"1881;0_UNK_0;The Baracudas;Yank Me (Doodle);The Complete Stax/Volt Singles vol 1: 1959-1968 (Disc 4);1991"
1882;"1882;0_UNK_0;Barbara;Si La Photo Est Bonne;Putumayo Presents: French Cafe;2003"
1883;"1883;0_UNK_0;Barbara & the Browns;In My Heart;The Complete Stax/Volt Singles vol 1: 1959-1968 (Disc 4);1991"
1884;"1884;0_UNK_0;Barbara & the Browns;My Lover;The Complete Stax/Volt Singles vol 1: 1959-1968 (Disc 4);2000"
1885;"1885;0_UNK_0;Barbara Lewis;Just the Way You Are Today;The Complete Stax/Volt Singles vol 2: 1968-1971 (Disc 5);1993"
1886;"1886;0_UNK_0;Barbara Manning;Joed Out;No Alternative;1993"
1887;"1887;0_UNK_0;Barbara Stephens;The Life I Live;The Complete Stax/Volt Singles vol 1: 1959-1968 (Disc 1);1968"
1888;"1888;0_UNK_0;Barbara Stephens;Wait a Minute;The Complete Stax/Volt Singles vol 1: 1959-1968 (Disc 1);1968"
1889;"1889;0_UNK_0;Barbara Stephens;That's the Way It Is with Me;The Complete Stax/Volt Singles vol 1: 1959-1968 (Disc 1);1968"
1890;"1890;0_UNK_0;The Barbarians;Moulty;Nuggets 1: Original Artyfacts From the 1st Psychedelic Era (CD1);1966"
1891;"1891;0_UNK_0;The Barbarians;Are You A Boy Or Are You A Gir;Nuggets 4: Original Artyfacts From the 1st Psychedelic Era (CD4);1965"
1892;"1892;0_UNK_0;Barbecue Bob;She Shook Her Gin;He Got Out His Big Ten Inch CD 2;2005"
1893;"1893;0_UNK_0;Barbed Wire;The Age That Didn't Care;Age That Didn't Care;2000"
1894;"1894;0_UNK_0;Barenaked Ladies;If I Had $1000000;Rock Spectacle;1996"
1895;"1895;0_UNK_0;Barfight;Barfight;Barfight;2001"
1896;"1896;0_UNK_0;Barfight;Line In;Barfight;2001"
1897;"1897;0_UNK_0;Barfight;A Friend In Need;Barfight;2001"
1898;"1898;0_UNK_0;Barfight;Revenge;Barfight S/T;2009"
1899;"1899;0_UNK_0;Barfight;You Suck;Barfight S/T;2009"
1900;"1900;0_UNK_0;Barfight;Fight O Four;Barfight S/T;2009"
1901;"1901;0_UNK_0;Bar-Kays;Soul Finger;The Complete Stax/Volt Singles vol 1: 1959-1968 (Disc 7);1991"
1902;"1902;0_UNK_0;Bar-Kays;Knucklehead;The Complete Stax/Volt Singles vol 1: 1959-1968 (Disc 7);1991"
1903;"1903;0_UNK_0;Bar-Kays;Give Everybody Some;The Complete Stax/Volt Singles vol 1: 1959-1968 (Disc 8);1991"
1904;"1904;0_UNK_0;Bar-Kays;Don't Stop Dancing (To the Music) (Part 1);The Complete Stax/Volt Singles vol 2: 1968-1971 (Disc 2);1993"
1905;"1905;0_UNK_0;The Bar-Kays;Dance. Dance. Dance (Part 1);The Complete Stax/Volt Singles vol 3: 1972-1974 (Disc 1);-1"
1906;"1906;0_UNK_0;Bar-Kays;Soul Finger;Soul Finger;1967"
1907;"1907;0_UNK_0;Bar-Kays;Knucklehead;Soul Finger;1967"
1908;"1908;0_UNK_0;Bar-Kays;With A Childs Heart;Soul Finger;1967"
1909;"1909;0_UNK_0;Bar-Kays;Bar-Kays Boogaloo;Soul Finger;1967"
1910;"1910;0_UNK_0;Bar-Kays;Theme From Hells Angels;Soul Finger;1967"
1911;"1911;0_UNK_0;Bar-Kays;You Can't Sit Down;Soul Finger;1967"
1912;"1912;0_UNK_0;Bar-Kays;House Shoes;Soul Finger;1967"
1913;"1913;0_UNK_0;Bar-Kays;Pearl High;Soul Finger;1967"
1914;"1914;0_UNK_0;Bar-Kays;I Want Someone;Soul Finger;1967"
1915;"1915;0_UNK_0;Bar-Kays;Hole In The Wall;Soul Finger;1967"
1916;"1916;0_UNK_0;Bar-Kays;Don't Do That;Soul Finger;1967"
1917;"1917;0_UNK_0;Bar-Kays;Soul Finger;Stax 50th: 50th Anniversary Celebration;2007"
1918;"1918;0_UNK_0;Bar-Kays;Son of Shaft;Stax 50th: 50th Anniversary Celebration;2007"
1919;"1919;0_UNK_0;Bar-Kays;Son of Shaft - Feel It;Wattstax CD 2;2003"
1920;"1920;0_UNK_0;Bar-Kays;In the Hole;Wattstax CD 2;2003"
1921;"1921;0_UNK_0;Bar-Kays;I Can't Turn You Loose;Wattstax CD 2;2003"
1922;"1922;0_UNK_0;Barley-bre (AKA The Factotums);Save Your Love;Doin' The Mod (vol. 2) - Jump And Dance;2002"
1923;"1923;0_UNK_0;Barrelhouse Annie;If It Don't Fit (Don't Force It);He Got Out His Big Ten Inch CD 1;2005"
1924;"1924;0_UNK_0;Barry Adamson;Hungry Ants;Natural Born Killers Soundtrack;1994"
1925;"1925;0_UNK_0;Barry Mann;Who Put The Bomp (In the Bomp. Bomp. Bomp);The Rock n Roll Era;1961"
1926;"1926;0_UNK_0;Barry White;You're The First. My Last. My Everything;70's Soul Sessions;2004"
1927;"1927;0_UNK_0;Barry White;Just The Way You Are;Greatest Ever Soul-The Definitive Collection 1;2007"
1928;"1928;0_UNK_0;Basehead;Not Over You;Play With Toys;1991"
1929;"1929;0_UNK_0;Basil Poledouris;Anvil of Crom;Conan the Barbarian;1982"
1930;"1930;0_UNK_0;Basil Poledouris;Twentieth Century Fox Fanfare (widescreen version);Conan the Barbarian;1982"
1931;"1931;0_UNK_0;Basil Poledouris;An Age Undreamed Of - Anvil of Crom;Conan the Barbarian;1982"
1932;"1932;0_UNK_0;Basil Poledouris;Riddle of Steel/Riders of Doom;Conan the Barbarian;1982"
1933;"1933;0_UNK_0;Basil Poledouris;Gift of Fury;Conan the Barbarian;1982"
1934;"1934;0_UNK_0;Basil Poledouris;Wheel of Pain;Conan the Barbarian;1982"
1935;"1935;0_UNK_0;Basil Poledouris;Atlantean Sword;Conan the Barbarian;1982"
1936;"1936;0_UNK_0;Basil Poledouris;Gladiator;Conan the Barbarian;1982"
1937;"1937;0_UNK_0;Basil Poledouris;Theology/Civilization;Conan the Barbarian;1982"
1938;"1938;0_UNK_0;Basil Poledouris;The Discipline of Steel - What Is Best In Life [not on original CD];Conan the Barbarian;1982"
1939;"1939;0_UNK_0;Basil Poledouris;Wifeing [Theme of Love];Conan the Barbarian;1982"
1940;"1940;0_UNK_0;Basil Poledouris;Leaving/The Search;Conan the Barbarian;1982"
1941;"1941;0_UNK_0;Basil Poledouris;Mountain of Power Procession;Conan the Barbarian;1982"
1942;"1942;0_UNK_0;Basil Poledouris;The Witch;Conan the Barbarian;1982"
1943;"1943;0_UNK_0;Basil Poledouris;Tree of Woe;Conan the Barbarian;1982"
1944;"1944;0_UNK_0;Basil Poledouris;I Am Evil! - Hitting the Camel;Conan the Barbarian;1982"
1945;"1945;0_UNK_0;Basil Poledouris;Recovery;Conan the Barbarian;1982"
1946;"1946;0_UNK_0;Basil Poledouris;Kitchen/The Orgy;Conan the Barbarian;1982"
1947;"1947;0_UNK_0;Basil Poledouris;Escape from the Tower of Set - Valeria's Gift;Conan the Barbarian;1982"
1948;"1948;0_UNK_0;Basil Poledouris;Funeral Pyre;Conan the Barbarian;1982"
1949;"1949;0_UNK_0;Basil Poledouris;Battle of the Mounds;Conan the Barbarian;1982"
1950;"1950;0_UNK_0;Basil Poledouris;Death of Rexnor;Conan the Barbarian;1982"
1951;"1951;0_UNK_0;Basil Poledouris;Orphans of Doom/The Awakening;Conan the Barbarian;1982"
1952;"1952;0_UNK_0;Basil Poledouris;The Kitchen - The Orgy - Stealing the Princess - You!;Conan the Barbarian;1982"
1953;"1953;0_UNK_0;Basil Poledouris;The Death Of Rexor - Conan the Assassin;Conan the Barbarian;1982"
1954;"1954;0_UNK_0;Basil Poledouris;The End of Thulsa Doom;Conan the Barbarian;1982"
1955;"1955;0_UNK_0;Basil Poledouris;Conan the King - End Titles;Conan the Barbarian;1982"
1956;"1956;0_UNK_0;Basil Poledouris;Alternate Track - 02 - An Age Undreamed Of (with Mako dialogue) - Anvil of Crom;Conan the Barbarian;1982"
1957;"1957;0_UNK_0;Basil Poledouris;Alternate Track - 27 - Conan the King - End Titles (with Mako dialogue);Conan the Barbarian;1982"
1958;"1958;0_UNK_0;Battalion of Saints;Hell's Around Teh Next Corner;Death-R-Us;1995"
1959;"1959;0_UNK_0;Battalion of Saints;I Wanna Make You Scream;Death-R-Us;1995"
1960;"1960;0_UNK_0;Battalion of Saints;Modern Day Hero;Death-R-Us;1995"
1961;"1961;0_UNK_0;Battalion of Saints;My Minds Disease;Death-R-Us;1995"
1962;"1962;0_UNK_0;Battalion of Saints;Animal in Man;Death-R-Us;1995"
1963;"1963;0_UNK_0;Battalion of Saints;Right or Wrong;Death-R-Us;1995"
1964;"1964;0_UNK_0;Battalion of Saints;Holy Vision;Death-R-Us;1995"
1965;"1965;0_UNK_0;Battalion of Saints;Buddies and Pals;Death-R-Us;1995"
1966;"1966;0_UNK_0;Battalion of Saints;No More Lies;Death-R-Us;1995"
1967;"1967;0_UNK_0;Battalion of Saints;Second Coming;Death-R-Us;1995"
1968;"1968;0_UNK_0;Battalion of Saints;Beefmaster;Death-R-Us;1995"
1969;"1969;0_UNK_0;Battalion of Saints;No Time;Death-R-Us;1995"
1970;"1970;0_UNK_0;Battalion of Saints;Too Much Fun;Death-R-Us;1995"
1971;"1971;0_UNK_0;Battalion of Saints;Inter Course;Death-R-Us;1995"
1972;"1972;0_UNK_0;Battalion of Saints;Solidarity Is Fun;Death-R-Us;1995"
1973;"1973;0_UNK_0;Battalion of Saints;Fair Warning;Death-R-Us;1995"
1974;"1974;0_UNK_0;Battalion of Saints;Doomed World;Death-R-Us;1995"
1975;"1975;0_UNK_0;Battalion of Saints;Ace of Spades;Death-R-Us;1995"
1976;"1976;0_UNK_0;Battalion of Saints;Cops Are Out;Death-R-Us;1995"
1977;"1977;0_UNK_0;Battalion of Saints A.D.;My New Low;Cuts...;1996"
1978;"1978;0_UNK_0;Battalion of Saints A.D.;Do It Again;Cuts...;1996"
1979;"1979;0_UNK_0;Battalion of Saints A.D.;Freedom;Cuts...;1996"
1980;"1980;0_UNK_0;Battalion of Saints A.D.;I Don't Like You;Cuts...;1996"
1981;"1981;0_UNK_0;Battalion of Saints A.D.;Love;Cuts...;1996"
1982;"1982;0_UNK_0;Battalion of Saints A.D.;Stand Up;Cuts...;1996"
1983;"1983;0_UNK_0;Battalion of Saints A.D.;Protect And Serve;Cuts...;1996"
1984;"1984;0_UNK_0;Battalion of Saints A.D.;Biowarfare;Cuts...;1996"
1985;"1985;0_UNK_0;Battalion of Saints A.D.;Fun;Cuts...;1996"
1986;"1986;0_UNK_0;Battalion of Saints A.D.;Nowhere Going Faster;Cuts...;1996"
1987;"1987;0_UNK_0;Battalion of Saints A.D.;Faster Faster;Cuts...;1996"
1988;"1988;0_UNK_0;Battalion of Saints A.D.;Somewhere I Belong;Cuts...;1996"
1989;"1989;0_UNK_0;Battalion of Saints A.D.;Jack Shack;Cuts...;1996"
1990;"1990;0_UNK_0;Battle of Disarm;Think;Battle of Disarm/Fleas & Lice;1995"
1991;"1991;0_UNK_0;Battle of Disarm;science have taken our health;Battle of Disarm/Fleas & Lice;1995"
1992;"1992;0_UNK_0;Bauhaus;A Spy In The Cab;1979-1983. Volume One;-1"
1993;"1993;0_UNK_0;Bauhaus;Slice of Life;1979-1983. Volume Two;1986"
1994;"1994;0_UNK_0;Bauhaus;She’s in Parties;1979-1983. Volume Two;1997"
1995;"1995;0_UNK_0;Bauhaus;The Sanity Assassin;1979-1983. Volume Two;1986"
1996;"1996;0_UNK_0;Bauhaus;Who Killed Mr. Moonlight?;1979-1983. Volume Two;1986"
1997;"1997;0_UNK_0;Bauhaus;Bela Lugosi's Dead;Crackle;1998"
1998;"1998;0_UNK_0;Bauhaus;Double Dare;In the Flat Field;1980"
1999;"1999;0_UNK_0;Bauhaus;St. Vitus Dance;In the Flat Field;1980"
2000;"2000;0_UNK_0;Bauhaus;Telegram Sam;In the Flat Field;1980"
2001;"2001;0_UNK_0;Bauhaus;Satori;Kick in the Eye;1981"
2002;"2002;0_UNK_0;Bauhaus;Paranoia. Paranoia;Lagartija Nick;1983"
2003;"2003;0_UNK_0;Bauhaus;Dark Entries;Mask;2009"
2004;"2004;0_UNK_0;Bauhaus;Terror Couple Kill Colonel;Mask;2009"
2005;"2005;0_UNK_0;Bauhaus;Hollow Hills;Mask;1988"
2006;"2006;0_UNK_0;Bauhaus;Stigmata Martyr;Mask;2009"
2007;"2007;0_UNK_0;Bauhaus;Hair of the Dog;Mask;1981"
2008;"2008;0_UNK_0;Bauhaus;The Passion of Lovers;Mask;1981"
2009;"2009;0_UNK_0;Bauhaus;A God in an Alcove;Mask;2009"
2010;"2010;0_UNK_0;Bauhaus;Dancing;Mask;1981"
2011;"2011;0_UNK_0;Bauhaus;In Fear of Fear;Mask;1981"
2012;"2012;0_UNK_0;Bauhaus;Mask;Mask;1981"
2013;"2013;0_UNK_0;Bauhaus;Bela Lugosi's Dead;Mask (Omnibus Edition);2009"
2014;"2014;0_UNK_0;Bauhaus;In the Flat Field;Mask (Omnibus Edition);2009"
2015;"2015;0_UNK_0;Bauhaus;Lagartija Nick;The Sky’s Gone Out;1983"
2016;"2016;0_UNK_0;Bauhaus;Third Uncle;The Sky’s Gone Out;1982"
2017;"2017;0_UNK_0;Bauhaus;Ziggy Stardust;The Sky’s Gone Out;1983"
2018;"2018;0_UNK_0;Bauhaus;Swing the Heartache;The Sky’s Gone Out;1982"
2019;"2019;0_UNK_0;Bauhaus;Spirit;The Sky’s Gone Out;1982"
2020;"2020;0_UNK_0;Bauhaus;Kick in the Eye;The Sky’s Gone Out;1983"
2021;"2021;0_UNK_0;Bauhaus;Silent Hedges;The Sky's Gone Out;1982"
2022;"2022;0_UNK_0;Bauhaus;All We Ever Wanted Was Everything;The Sky's Gone Out;1982"
2023;"2023;0_UNK_0;Bauhaus;Crowds;Telegram Sam;1980"
2024;"2024;0_UNK_0;Bay City Rollers;Saturday Night;Shang a Lang;1998"
2025;"2025;0_UNK_0;Bazooka Joe;Smallville;Virtual World;1990"
2026;"2026;0_UNK_0;The Beach Boys;Summer in Paradise;Music for Our Mother ocean Vol. 2;1993"
2027;"2027;0_UNK_0;Beach Boys;Wouldn't It Be Nice;Pet Sounds;1966"
2028;"2028;0_UNK_0;Beach Boys;You Still Believe In Me;Pet Sounds;1966"
2029;"2029;0_UNK_0;Beach Boys;That's Not Me;Pet Sounds;1966"
2030;"2030;0_UNK_0;Beach Boys;Don't Talk;Pet Sounds;1966"
2031;"2031;0_UNK_0;Beach Boys;I'm Waiting For The Day;Pet Sounds;1966"
2032;"2032;0_UNK_0;Beach Boys;Let's Go Away For Awhile;Pet Sounds;1966"
2033;"2033;0_UNK_0;Beach Boys;Sloop John B.;Pet Sounds;1966"
2034;"2034;0_UNK_0;Beach Boys;God Only Knows;Pet Sounds;1966"
2035;"2035;0_UNK_0;Beach Boys;I Know There's An Answer;Pet Sounds;1966"
2036;"2036;0_UNK_0;Beach Boys;Here Today;Pet Sounds;1966"
2037;"2037;0_UNK_0;Beach Boys;I Just Wasn't Made For These;Pet Sounds;1966"
2038;"2038;0_UNK_0;Beach Boys;Pet Sounds;Pet Sounds;1966"
2039;"2039;0_UNK_0;Beach Boys;Caroline. No;Pet Sounds;1966"
2040;"2040;0_UNK_0;The Beach Boys;Surfin' U.S.A.;Surfin' Safari/Surfin' U.S.A.;1961"
2041;"2041;0_UNK_0;Beardo;24 Hr Party;Shoot To Kill Mixtape;2008"
2042;"2042;0_UNK_0;The Bears;On Me;Punk Rock Rarities vol 1;2006"
2043;"2043;0_UNK_0;Beastie Boys;Jimmy James;Check Your Head;1992"
2044;"2044;0_UNK_0;Beastie Boys;Funky Boss;Check Your Head;1992"
2045;"2045;0_UNK_0;Beastie Boys;Pass the Mic;Check Your Head;1992"
2046;"2046;0_UNK_0;Beastie Boys;Gratitude;Check Your Head;1992"
2047;"2047;0_UNK_0;Beastie Boys;Groove Holmes;Check Your Head;1992"
2048;"2048;0_UNK_0;Beastie Boys;Live at P.J.'s;Check Your Head;1992"
2049;"2049;0_UNK_0;Beastie Boys;So What'cha Want;Check Your Head;1992"
2050;"2050;0_UNK_0;Beastie Boys;Professor Booty;Check Your Head;1992"
2051;"2051;0_UNK_0;Beastie Boys;In 3's;Check Your Head;1992"
2052;"2052;0_UNK_0;Beastie Boys;Stand Together;Check Your Head;1992"
2053;"2053;0_UNK_0;Beastie Boys;POW;Check Your Head;1992"
2054;"2054;0_UNK_0;Beastie Boys;Time for Livin';Check Your Head;1998"
2055;"2055;0_UNK_0;Beastie Boys;Cookypuss;Hip Hop Family Tree Vol. 2;1983"
2056;"2056;0_UNK_0;Beastie Boys;Make Some Noise;Hot Sauce Committee Part Two;2011"
2057;"2057;0_UNK_0;Beastie Boys;Nonstop Disco Powerpack;Hot Sauce Committee Part Two;2011"
2058;"2058;0_UNK_0;Beastie Boys;OK;Hot Sauce Committee Part Two;2011"
2059;"2059;0_UNK_0;Beastie Boys;Too Many Rappers (New Reactionaries version) (feat. Nas);Hot Sauce Committee Part Two;2011"
2060;"2060;0_UNK_0;Beastie Boys;Say It;Hot Sauce Committee Part Two;2011"
2061;"2061;0_UNK_0;Beastie Boys;The Bill Harper Collection;Hot Sauce Committee Part Two;2011"
2062;"2062;0_UNK_0;Beastie Boys;Don't Play No Game That I Can't Win (feat. Santigold);Hot Sauce Committee Part Two;2011"
2063;"2063;0_UNK_0;Beastie Boys;Long Burn the Fire;Hot Sauce Committee Part Two;2011"
2064;"2064;0_UNK_0;Beastie Boys;Funky Donkey;Hot Sauce Committee Part Two;2011"
2065;"2065;0_UNK_0;Beastie Boys;The Larry Routine;Hot Sauce Committee Part Two;2011"
2066;"2066;0_UNK_0;Beastie Boys;Tadlock's Glasses;Hot Sauce Committee Part Two;2011"
2067;"2067;0_UNK_0;Beastie Boys;Lee Majors Come Again;Hot Sauce Committee Part Two;2011"
2068;"2068;0_UNK_0;Beastie Boys;Multilateral Nuclear Disarmament;Hot Sauce Committee Part Two;2011"
2069;"2069;0_UNK_0;Beastie Boys;Here's a Little Something for Ya;Hot Sauce Committee Part Two;2011"
2070;"2070;0_UNK_0;Beastie Boys;Crazy Ass Shit;Hot Sauce Committee Part Two;2011"
2071;"2071;0_UNK_0;Beastie Boys;The Lisa Lisa / Full Force Routine;Hot Sauce Committee Part Two;2011"
2072;"2072;0_UNK_0;Beastie Boys;Make Some Noise (Cornelius remix);Hot Sauce Committee Part Two;2011"
2073;"2073;0_UNK_0;Beastie Boys;Make Some Noise;Hot Sauce Committee. Pt. 2;2011"
2074;"2074;0_UNK_0;Beastie Boys;Nonstop Disco Powerpack;Hot Sauce Committee. Pt. 2;2011"
2075;"2075;0_UNK_0;Beastie Boys;OK;Hot Sauce Committee. Pt. 2;2011"
2076;"2076;0_UNK_0;Beastie Boys;Too Many Rappers [new reactionaries version] (featuring NAS);Hot Sauce Committee. Pt. 2;2011"
2077;"2077;0_UNK_0;Beastie Boys;Say It;Hot Sauce Committee. Pt. 2;2011"
2078;"2078;0_UNK_0;Beastie Boys;The Bill Harper Collection;Hot Sauce Committee. Pt. 2;2011"
2079;"2079;0_UNK_0;Beastie Boys;Don't Play No Game That I Can't Win (featuring Santigold);Hot Sauce Committee. Pt. 2;2011"
2080;"2080;0_UNK_0;Beastie Boys;Long Burn The Fire;Hot Sauce Committee. Pt. 2;2011"
2081;"2081;0_UNK_0;Beastie Boys;Funky Donkey;Hot Sauce Committee. Pt. 2;2011"
2082;"2082;0_UNK_0;Beastie Boys;The Larry Routine;Hot Sauce Committee. Pt. 2;2011"
2083;"2083;0_UNK_0;Beastie Boys;Tadlock's Glasses;Hot Sauce Committee. Pt. 2;2011"
2084;"2084;0_UNK_0;Beastie Boys;Lee Majors Come Again;Hot Sauce Committee. Pt. 2;2011"
2085;"2085;0_UNK_0;Beastie Boys;Multilateral Nuclear Disarmament;Hot Sauce Committee. Pt. 2;2011"
2086;"2086;0_UNK_0;Beastie Boys;Here's A Little Something For Ya;Hot Sauce Committee. Pt. 2;2011"
2087;"2087;0_UNK_0;Beastie Boys;Crazy Ass Shit;Hot Sauce Committee. Pt. 2;2011"
2088;"2088;0_UNK_0;Beastie Boys;The Lisa LisaFull Force Routine;Hot Sauce Committee. Pt. 2;2011"
2089;"2089;0_UNK_0;Beastie Boys;Sure Shot;Ill Communication;1994"
